scenario,algorithm,metric_name,mean,std,min,max,replications
high_demand,cpsat,total_clinical_impact,140241.84,11427.4409,117870.9,154712.7,10
high_demand,cpsat,average_resource_utilization,0.3325,0.0116,0.3136,0.3548,10
high_demand,cpsat,total_doctor_round_time,101.96,2.4258,97.8,105.3,10
high_demand,cpsat,number_of_doctor_rounds,31.0,0.0,31.0,31.0,10
high_demand,cpsat,average_doctor_round_duration,3.289,0.0783,3.1548,3.3968,10
high_demand,cpsat,total_planning_overhead_time,46.5,0.0,46.5,46.5,10
high_demand,simulated_annealing,treated_patients,13.6,0.8,12.0,15.0,10
high_demand,simulated_annealing,untreated_patients,14.4,0.8,13.0,16.0,10
high_demand,simulated_annealing,number_of_initial_assessments,28.0,0.0,28.0,28.0,10
high_demand,simulated_annealing,services_started_from_arrival,2.0,0.0,2.0,2.0,10
high_demand,simulated_annealing,services_started_from_service_end,11.6,0.8,10.0,13.0,10
high_demand,simulated_annealing,services_started_from_deterioration,0.0,0.0,0.0,0.0,10
high_demand,simulated_annealing,services_started_from_doctor_round,0.0,0.0,0.0,0.0,10
high_demand,simulated_annealing,average_time_to_initial_assessment,0.0,0.0,0.0,0.0,10
high_demand,simulated_annealing,average_time_to_service_start,143.955,12.3146,122.23,158.67,10
high_demand,simulated_annealing,patients_deteriorated_while_waiting,25.9,0.3,25.0,26.0,10
high_demand,simulated_annealing,critical_patients_waited,1.8,1.1662,0.0,3.0,10
high_demand,simulated_annealing,critical_patients_started_immediately,0.3,0.4583,0.0,1.0,10
high_demand,simulated_annealing,average_waiting_time,143.955,12.3146,122.23,158.67,10
high_demand,simulated_annealing,max_waiting_time,341.0,26.6158,303.0,401.0,10
high_demand,simulated_annealing,critical_late_patients,13.1,3.5341,7.0,18.0,10
high_demand,simulated_annealing,total_clinical_impact,136932.395,12176.6391,113174.2,152186.6,10
high_demand,simulated_annealing,average_resource_utilization,0.3286,0.0102,0.3121,0.3455,10
high_demand,simulated_annealing,total_doctor_round_time,100.82,2.9556,95.7,104.8,10
high_demand,simulated_annealing,number_of_doctor_rounds,31.0,0.0,31.0,31.0,10
high_demand,simulated_annealing,average_doctor_round_duration,3.2523,0.0953,3.0871,3.3806,10
high_demand,simulated_annealing,total_planning_overhead_time,46.5,0.0,46.5,46.5,10
